order_item_id,order_id,product_id,quantity,unit_price
1,1,87,3,147.02
2,1,63,3,129.31
3,1,58,1,440.24
4,2,79,2,23.94
5,2,60,3,466.22
6,2,19,1,374.77
7,2,82,2,185.29
8,3,81,3,131.09
9,3,74,2,394.75
10,3,10,1,290.79
11,3,21,2,431.25
12,4,41,2,214.67
13,4,84,2,335.11
14,5,78,3,469.92
15,5,51,2,33.16
16,5,57,2,271.13
17,6,67,2,418.12
18,6,53,1,291.56
19,6,24,1,342.45
20,6,17,3,110.25
21,6,31,3,367.29
22,7,96,3,401.7
23,7,96,1,401.7
24,7,27,1,421.63
25,8,14,1,269.4
26,8,9,2,44.01
27,8,71,1,463.25
28,8,4,2,359.43
29,9,98,1,416.13
30,9,14,2,269.4
31,9,80,1,221.01
32,9,11,3,492.68
33,9,50,2,375.25
34,10,32,3,68.55
35,10,37,2,355.38
36,11,17,3,110.25
37,11,22,1,300.22
38,12,85,2,99.96
39,13,61,2,445.41
40,13,70,2,391.16
41,13,71,2,463.25
42,14,90,3,51.23
43,14,23,3,485.68
44,15,59,3,307.78
45,15,96,3,401.7
46,15,73,2,402.11
47,15,68,3,157.59
48,15,82,3,185.29
49,16,45,2,30.04
50,16,70,1,391.16
51,16,12,2,229.44
52,17,47,2,86.5
53,17,34,1,357.91
54,17,39,1,363.06
55,18,67,1,418.12
56,19,37,2,355.38
57,19,69,1,449.97
58,19,89,2,331.13
59,20,39,1,363.06
60,20,99,2,227.78
61,20,38,3,40.07
62,20,30,1,123.53
63,21,48,1,146.2
64,21,53,3,291.56
65,21,56,2,9.61
66,21,32,1,68.55
67,21,92,3,230.43
68,22,49,1,81.62
69,22,34,1,357.91
70,22,55,3,200.91
71,22,31,3,367.29
72,23,89,3,331.13
73,23,35,2,450.31
74,23,84,3,335.11
75,23,69,2,449.97
76,23,53,1,291.56
77,24,24,1,342.45
78,25,15,3,343.88
79,25,59,3,307.78
80,25,58,2,440.24
81,26,63,1,129.31
82,26,42,1,35.0
83,26,20,1,498.68
84,26,69,1,449.97
85,26,24,1,342.45
86,27,35,1,450.31
87,27,92,2,230.43
88,27,94,1,390.32
89,28,12,1,229.44
90,28,2,2,339.97
91,29,44,2,234.0
92,29,40,2,404.71
93,30,60,3,466.22
94,30,5,2,405.67
95,30,11,1,492.68
96,31,35,2,450.31
97,32,70,2,391.16
98,33,25,2,60.22
99,33,49,1,81.62
100,34,99,3,227.78
101,35,50,2,375.25
102,35,32,3,68.55
103,36,26,2,486.08
104,37,67,3,418.12
105,38,61,2,445.41
106,38,88,2,235.17
107,39,21,3,431.25
108,39,94,1,390.32
109,39,96,3,401.7
110,40,16,2,403.5
111,40,62,3,360.22
112,40,39,1,363.06
113,40,47,1,86.5
114,40,86,1,309.68
115,41,31,3,367.29
116,42,42,1,35.0
117,42,22,2,300.22
118,42,75,1,115.1
119,42,51,1,33.16
120,43,6,3,173.42
121,44,89,3,331.13
122,44,20,2,498.68
123,44,99,1,227.78
124,44,32,1,68.55
125,45,12,3,229.44
126,45,80,2,221.01
127,45,98,3,416.13
128,45,8,1,404.53
129,46,83,1,333.38
130,46,90,3,51.23
131,46,14,1,269.4
132,47,30,2,123.53
133,47,72,3,441.3
134,47,97,2,475.27
135,47,57,3,271.13
136,48,3,3,19.75
137,48,49,2,81.62
138,49,33,1,482.36
139,49,63,3,129.31
140,50,72,2,441.3
141,50,70,3,391.16
142,50,63,1,129.31
143,50,73,1,402.11
144,51,45,2,30.04
145,51,94,2,390.32
146,51,36,3,15.41
147,51,71,1,463.25
148,51,9,3,44.01
149,52,58,2,440.24
150,52,34,3,357.91
151,53,59,1,307.78
152,53,100,3,315.24
153,53,65,2,84.98
154,54,3,3,19.75
155,54,47,3,86.5
156,55,42,3,35.0
157,55,9,3,44.01
158,56,50,1,375.25
159,56,68,3,157.59
160,56,64,3,415.53
161,56,20,3,498.68
162,56,37,2,355.38
163,57,83,2,333.38
164,57,15,1,343.88
165,57,67,3,418.12
166,57,9,1,44.01
167,58,23,1,485.68
168,58,26,1,486.08
169,59,25,1,60.22
170,59,5,3,405.67
171,59,83,2,333.38
172,59,85,2,99.96
173,60,80,3,221.01
174,60,76,2,115.35
175,60,7,2,50.91
176,60,29,3,246.86
177,60,92,1,230.43
178,61,27,3,421.63
179,62,11,2,492.68
180,62,82,1,185.29
181,62,47,3,86.5
182,62,96,2,401.7
183,63,91,1,404.25
184,63,79,2,23.94
185,63,68,1,157.59
186,64,39,1,363.06
187,65,67,1,418.12
188,65,13,3,336.74
189,66,69,2,449.97
190,66,25,1,60.22
191,67,85,1,99.96
192,67,73,3,402.11
193,67,23,3,485.68
194,67,96,3,401.7
195,67,54,3,467.68
196,68,99,3,227.78
197,69,46,3,87.32
198,69,59,3,307.78
199,69,86,2,309.68
200,69,14,1,269.4
201,69,24,3,342.45
202,70,65,2,84.98
203,70,85,1,99.96
204,70,69,3,449.97
205,70,57,2,271.13
206,71,71,2,463.25
207,71,48,2,146.2
208,71,98,3,416.13
209,72,93,2,249.72
210,72,78,1,469.92
211,72,73,3,402.11
212,72,28,2,271.99
213,73,96,2,401.7
214,73,47,2,86.5
215,73,58,2,440.24
216,73,1,3,17.38
217,73,5,2,405.67
218,74,3,3,19.75
219,74,18,2,75.72
220,74,1,2,17.38
221,74,29,1,246.86
222,74,41,1,214.67
223,75,71,3,463.25
224,75,72,3,441.3
225,75,74,1,394.75
226,76,5,2,405.67
227,77,20,1,498.68
228,77,34,2,357.91
229,77,75,1,115.1
230,78,33,2,482.36
231,78,12,3,229.44
232,79,73,1,402.11
233,79,94,1,390.32
234,79,93,2,249.72
235,79,62,1,360.22
236,80,89,3,331.13
237,80,74,1,394.75
238,80,77,3,483.61
239,80,39,1,363.06
240,81,49,1,81.62
241,81,100,1,315.24
242,81,99,2,227.78
243,81,45,2,30.04
244,81,54,1,467.68
245,82,96,3,401.7
246,82,78,1,469.92
247,83,7,2,50.91
248,83,68,1,157.59
249,83,41,3,214.67
250,83,73,1,402.11
251,84,65,3,84.98
252,84,29,1,246.86
253,84,7,3,50.91
254,85,58,3,440.24
255,85,74,3,394.75
256,85,12,1,229.44
257,85,56,2,9.61
258,86,19,1,374.77
259,86,44,1,234.0
260,86,61,3,445.41
261,86,96,1,401.7
262,87,52,2,339.23
263,87,11,2,492.68
264,87,65,2,84.98
265,87,100,3,315.24
266,87,17,1,110.25
267,88,72,1,441.3
268,88,63,2,129.31
269,88,84,3,335.11
270,88,26,3,486.08
271,89,95,3,29.86
272,89,32,1,68.55
273,89,10,2,290.79
274,89,100,2,315.24
275,89,42,3,35.0
276,90,12,1,229.44
277,90,86,2,309.68
278,90,55,2,200.91
279,90,45,1,30.04
280,90,42,2,35.0
281,91,84,1,335.11
282,91,99,2,227.78
283,91,22,2,300.22
284,91,79,2,23.94
285,91,80,1,221.01
286,92,6,1,173.42
287,92,26,3,486.08
288,92,48,1,146.2
289,92,97,3,475.27
290,93,15,3,343.88
291,94,32,3,68.55
292,95,37,1,355.38
293,95,44,3,234.0
294,96,40,2,404.71
295,97,3,2,19.75
296,97,27,3,421.63
297,97,69,1,449.97
298,97,27,3,421.63
299,98,97,2,475.27
300,98,71,2,463.25
301,98,80,3,221.01
302,98,19,3,374.77
303,98,90,3,51.23
304,99,49,3,81.62
305,100,6,2,173.42
306,100,22,1,300.22
307,100,37,1,355.38
308,100,90,3,51.23
309,100,35,1,450.31
310,101,84,1,335.11
311,101,9,2,44.01
312,101,85,2,99.96
313,101,85,3,99.96
314,102,14,1,269.4
315,102,38,3,40.07
316,102,50,1,375.25
