product_id,product_name,list_price
20,Producto 020,498.68
11,Producto 011,492.68
26,Producto 026,486.08
23,Producto 023,485.68
77,Producto 077,483.61
33,Producto 033,482.36
97,Producto 097,475.27
78,Producto 078,469.92
54,Producto 054,467.68
60,Producto 060,466.22
71,Producto 071,463.25
35,Producto 035,450.31
69,Producto 069,449.97
61,Producto 061,445.41
72,Producto 072,441.3
58,Producto 058,440.24
21,Producto 021,431.25
27,Producto 027,421.63
67,Producto 067,418.12
98,Producto 098,416.13
64,Producto 064,415.53
5,Producto 005,405.67
40,Producto 040,404.71
8,Producto 008,404.53
91,Producto 091,404.25
16,Producto 016,403.5
73,Producto 073,402.11
96,Producto 096,401.7
74,Producto 074,394.75
70,Producto 070,391.16
94,Producto 094,390.32
50,Producto 050,375.25
19,Producto 019,374.77
31,Producto 031,367.29
39,Producto 039,363.06
62,Producto 062,360.22
4,Producto 004,359.43
34,Producto 034,357.91
37,Producto 037,355.38
15,Producto 015,343.88
24,Producto 024,342.45
2,Producto 002,339.97
52,Producto 052,339.23
13,Producto 013,336.74
84,Producto 084,335.11
83,Producto 083,333.38
89,Producto 089,331.13
100,Producto 100,315.24
86,Producto 086,309.68
59,Producto 059,307.78
22,Producto 022,300.22
53,Producto 053,291.56
10,Producto 010,290.79
28,Producto 028,271.99
57,Producto 057,271.13
14,Producto 014,269.4
93,Producto 093,249.72
29,Producto 029,246.86
88,Producto 088,235.17
44,Producto 044,234.0
92,Producto 092,230.43
12,Producto 012,229.44
99,Producto 099,227.78
80,Producto 080,221.01
41,Producto 041,214.67
55,Producto 055,200.91
82,Producto 082,185.29
6,Producto 006,173.42
68,Producto 068,157.59
87,Producto 087,147.02
48,Producto 048,146.2
81,Producto 081,131.09
63,Producto 063,129.31
30,Producto 030,123.53
76,Producto 076,115.35
75,Producto 075,115.1
17,Producto 017,110.25
