product_id,product_name,list_price,category_id
69,Producto 069,449.97,1
21,Producto 021,431.25,1
67,Producto 067,418.12,1
16,Producto 016,403.5,1
50,Producto 050,375.25,1
68,Producto 068,157.59,1
47,Producto 047,86.5,1
66,Producto 066,60.38,1
3,Producto 003,19.75,1
71,Producto 071,463.25,3
72,Producto 072,441.3,3
96,Producto 096,401.7,3
74,Producto 074,394.75,3
39,Producto 039,363.06,3
89,Producto 089,331.13,3
86,Producto 086,309.68,3
28,Producto 028,271.99,3
14,Producto 014,269.4,3
85,Producto 085,99.96,3
32,Producto 032,68.55,3
51,Producto 051,33.16,3
