order_id,order_date,status
986,2024-01-01,PAID
752,2024-01-03,SHIPPED
1021,2024-01-03,PENDING
301,2024-01-03,CANCELLED
892,2024-01-03,SHIPPED
126,2024-01-04,PAID
996,2024-01-04,PAID
33,2024-01-04,SHIPPED
666,2024-01-05,SHIPPED
1025,2024-01-05,PAID
399,2024-01-05,SHIPPED
1041,2024-01-06,SHIPPED
1088,2024-01-06,PAID
841,2024-01-08,SHIPPED
1091,2024-01-10,SHIPPED
757,2024-01-11,SHIPPED
39,2024-01-12,SHIPPED
434,2024-01-12,PAID
455,2024-01-13,PAID
667,2024-01-13,SHIPPED
1023,2024-01-14,PAID
606,2024-01-15,SHIPPED
648,2024-01-17,PENDING
446,2024-01-17,PAID
150,2024-01-18,PENDING
970,2024-01-18,CANCELLED
195,2024-01-20,PAID
231,2024-01-21,PAID
911,2024-01-22,PENDING
1063,2024-01-23,PAID
559,2024-01-23,PAID
135,2024-01-24,PAID
222,2024-01-25,SHIPPED
933,2024-01-26,SHIPPED
963,2024-01-26,PAID
886,2024-01-26,PAID
100,2024-01-26,SHIPPED
1077,2024-01-26,PAID
68,2024-01-27,PAID
295,2024-01-28,PAID
675,2024-01-31,PENDING
400,2024-02-01,SHIPPED
108,2024-02-02,PAID
532,2024-02-02,PAID
522,2024-02-02,PAID
630,2024-02-02,PAID
184,2024-02-03,SHIPPED
201,2024-02-03,PAID
258,2024-02-05,PAID
1011,2024-02-06,PAID
232,2024-02-07,PAID
73,2024-02-07,PAID
476,2024-02-07,SHIPPED
472,2024-02-08,PENDING
1121,2024-02-09,PAID
59,2024-02-10,PAID
276,2024-02-10,PENDING
365,2024-02-10,SHIPPED
221,2024-02-10,PAID
490,2024-02-10,PAID
645,2024-02-10,SHIPPED
11,2024-02-11,SHIPPED
668,2024-02-11,SHIPPED
1092,2024-02-11,SHIPPED
162,2024-02-11,PENDING
349,2024-02-12,PAID
1097,2024-02-12,SHIPPED
868,2024-02-12,CANCELLED
228,2024-02-12,CANCELLED
1145,2024-02-13,SHIPPED
27,2024-02-15,SHIPPED
1109,2024-02-15,SHIPPED
1101,2024-02-15,SHIPPED
449,2024-02-15,PENDING
498,2024-02-15,PAID
87,2024-02-16,PAID
643,2024-02-17,PAID
661,2024-02-18,PAID
704,2024-02-19,PAID
163,2024-02-20,PAID
1129,2024-02-21,PAID
657,2024-02-21,SHIPPED
239,2024-02-23,SHIPPED
1083,2024-02-23,PAID
304,2024-02-23,SHIPPED
679,2024-02-24,PAID
459,2024-02-24,PENDING
333,2024-02-26,SHIPPED
1142,2024-02-27,CANCELLED
832,2024-02-27,PENDING
147,2024-02-27,PAID
210,2024-02-28,PAID
130,2024-02-28,PENDING
577,2024-02-28,PAID
725,2024-02-28,PENDING
635,2024-02-29,PAID
408,2024-03-01,PAID
42,2024-03-01,SHIPPED
107,2024-03-02,PAID
763,2024-03-02,PAID
444,2024-03-02,SHIPPED
899,2024-03-02,CANCELLED
9,2024-03-03,SHIPPED
294,2024-03-04,PAID
866,2024-03-04,CANCELLED
576,2024-03-05,CANCELLED
443,2024-03-05,PAID
465,2024-03-05,PAID
1074,2024-03-06,PAID
401,2024-03-06,PAID
67,2024-03-06,PAID
798,2024-03-07,SHIPPED
