product_id,product_name,category_name
1,Producto 001,Hogar
2,Producto 002,Hogar
7,Producto 007,Hogar
24,Producto 024,Hogar
31,Producto 031,Hogar
37,Producto 037,Hogar
42,Producto 042,Hogar
45,Producto 045,Hogar
52,Producto 052,Hogar
56,Producto 056,Hogar
57,Producto 057,Hogar
58,Producto 058,Hogar
61,Producto 061,Hogar
77,Producto 077,Hogar
92,Producto 092,Hogar
94,Producto 094,Hogar
3,Producto 003,Electrónica
16,Producto 016,Electrónica
21,Producto 021,Electrónica
47,Producto 047,Electrónica
50,Producto 050,Electrónica
66,Producto 066,Electrónica
67,Producto 067,Electrónica
68,Producto 068,Electrónica
69,Producto 069,Electrónica
4,Producto 004,Ropa
13,Producto 013,Ropa
15,Producto 015,Ropa
20,Producto 020,Ropa
34,Producto 034,Ropa
43,Producto 043,Ropa
46,Producto 046,Ropa
53,Producto 053,Ropa
62,Producto 062,Ropa
76,Producto 076,Ropa
81,Producto 081,Ropa
82,Producto 082,Ropa
91,Producto 091,Ropa
5,Producto 005,Juguetes
8,Producto 008,Juguetes
11,Producto 011,Juguetes
12,Producto 012,Juguetes
19,Producto 019,Juguetes
23,Producto 023,Juguetes
26,Producto 026,Juguetes
27,Producto 027,Juguetes
30,Producto 030,Juguetes
44,Producto 044,Juguetes
55,Producto 055,Juguetes
59,Producto 059,Juguetes
60,Producto 060,Juguetes
65,Producto 065,Juguetes
79,Producto 079,Juguetes
84,Producto 084,Juguetes
87,Producto 087,Juguetes
6,Producto 006,Belleza
9,Producto 009,Belleza
22,Producto 022,Belleza
33,Producto 033,Belleza
64,Producto 064,Belleza
73,Producto 073,Belleza
93,Producto 093,Belleza
98,Producto 098,Belleza
10,Producto 010,Libros
17,Producto 017,Libros
25,Producto 025,Libros
29,Producto 029,Libros
36,Producto 036,Libros
38,Producto 038,Libros
41,Producto 041,Libros
54,Producto 054,Libros
70,Producto 070,Libros
78,Producto 078,Libros
80,Producto 080,Libros
83,Producto 083,Libros
88,Producto 088,Libros
90,Producto 090,Libros
97,Producto 097,Libros
14,Producto 014,Deportes
28,Producto 028,Deportes
32,Producto 032,Deportes
39,Producto 039,Deportes
51,Producto 051,Deportes
71,Producto 071,Deportes
72,Producto 072,Deportes
74,Producto 074,Deportes
85,Producto 085,Deportes
86,Producto 086,Deportes
89,Producto 089,Deportes
96,Producto 096,Deportes
18,Producto 018,Alimentos
35,Producto 035,Alimentos
40,Producto 040,Alimentos
48,Producto 048,Alimentos
49,Producto 049,Alimentos
63,Producto 063,Alimentos
75,Producto 075,Alimentos
95,Producto 095,Alimentos
99,Producto 099,Alimentos
100,Producto 100,Alimentos
