order_id,product_name,quantity
1,Producto 087,3
110,Producto 087,3
150,Producto 087,2
165,Producto 087,2
206,Producto 087,2
238,Producto 087,2
330,Producto 087,3
400,Producto 087,1
400,Producto 087,1
411,Producto 087,2
418,Producto 087,2
473,Producto 087,2
492,Producto 087,1
506,Producto 087,1
530,Producto 087,2
541,Producto 087,1
571,Producto 087,1
575,Producto 087,3
605,Producto 087,1
617,Producto 087,1
628,Producto 087,3
632,Producto 087,3
672,Producto 087,1
707,Producto 087,3
735,Producto 087,2
736,Producto 087,3
806,Producto 087,2
823,Producto 087,1
873,Producto 087,3
880,Producto 087,3
903,Producto 087,2
967,Producto 087,2
1003,Producto 087,1
1039,Producto 087,2
1042,Producto 087,3
1161,Producto 087,2
1186,Producto 087,3
1187,Producto 087,3
1,Producto 063,3
26,Producto 063,1
49,Producto 063,3
50,Producto 063,1
88,Producto 063,2
103,Producto 063,3
106,Producto 063,2
123,Producto 063,2
127,Producto 063,3
194,Producto 063,1
202,Producto 063,1
268,Producto 063,1
275,Producto 063,3
302,Producto 063,1
329,Producto 063,3
337,Producto 063,3
353,Producto 063,2
362,Producto 063,1
365,Producto 063,3
407,Producto 063,2
415,Producto 063,2
416,Producto 063,3
428,Producto 063,1
446,Producto 063,1
453,Producto 063,3
489,Producto 063,2
502,Producto 063,2
516,Producto 063,2
529,Producto 063,2
543,Producto 063,2
577,Producto 063,3
578,Producto 063,3
583,Producto 063,1
679,Producto 063,1
732,Producto 063,2
762,Producto 063,1
775,Producto 063,2
776,Producto 063,2
791,Producto 063,1
796,Producto 063,3
800,Producto 063,2
806,Producto 063,2
816,Producto 063,1
842,Producto 063,2
856,Producto 063,3
892,Producto 063,1
901,Producto 063,3
919,Producto 063,2
948,Producto 063,3
1076,Producto 063,1
1150,Producto 063,1
1188,Producto 063,3
1,Producto 058,1
25,Producto 058,2
52,Producto 058,2
73,Producto 058,2
85,Producto 058,3
111,Producto 058,3
173,Producto 058,2
205,Producto 058,3
244,Producto 058,2
290,Producto 058,2
348,Producto 058,2
495,Producto 058,2
512,Producto 058,3
534,Producto 058,3
560,Producto 058,3
614,Producto 058,2
637,Producto 058,2
717,Producto 058,1
728,Producto 058,1
753,Producto 058,2
810,Producto 058,1
852,Producto 058,2
927,Producto 058,3
946,Producto 058,1
1009,Producto 058,1
1040,Producto 058,1
1092,Producto 058,1
1133,Producto 058,2
1153,Producto 058,2
2,Producto 079,2
63,Producto 079,2
91,Producto 079,2
120,Producto 079,2
120,Producto 079,1
150,Producto 079,3
192,Producto 079,2
223,Producto 079,1
225,Producto 079,1
229,Producto 079,2
279,Producto 079,1
281,Producto 079,1
286,Producto 079,2
290,Producto 079,3
291,Producto 079,1
303,Producto 079,2
376,Producto 079,3
389,Producto 079,1
429,Producto 079,2
504,Producto 079,1
613,Producto 079,3
624,Producto 079,3
632,Producto 079,2
646,Producto 079,3
720,Producto 079,1
769,Producto 079,3
882,Producto 079,1
911,Producto 079,1
942,Producto 079,2
1010,Producto 079,3
1049,Producto 079,2
1060,Producto 079,3
1163,Producto 079,1
1192,Producto 079,3
1192,Producto 079,1
2,Producto 060,3
30,Producto 060,3
131,Producto 060,1
132,Producto 060,3
158,Producto 060,3
167,Producto 060,2
179,Producto 060,1
202,Producto 060,2
223,Producto 060,3
250,Producto 060,3
293,Producto 060,3
307,Producto 060,2
324,Producto 060,3
362,Producto 060,1
395,Producto 060,1
412,Producto 060,1
440,Producto 060,1
482,Producto 060,1
487,Producto 060,2
507,Producto 060,2
509,Producto 060,3
621,Producto 060,2
634,Producto 060,2
664,Producto 060,3
682,Producto 060,1
688,Producto 060,3
719,Producto 060,3
728,Producto 060,1
810,Producto 060,1
1023,Producto 060,3
1023,Producto 060,2
1087,Producto 060,3
1126,Producto 060,2
1131,Producto 060,1
1178,Producto 060,2
1179,Producto 060,2
2,Producto 019,1
86,Producto 019,1
98,Producto 019,3
140,Producto 019,1
177,Producto 019,1
216,Producto 019,3
237,Producto 019,3
303,Producto 019,1
334,Producto 019,2
339,Producto 019,2
354,Producto 019,3
358,Producto 019,1
374,Producto 019,1
381,Producto 019,3
388,Producto 019,3
401,Producto 019,2
451,Producto 019,1
455,Producto 019,2
475,Producto 019,1
523,Producto 019,2
555,Producto 019,1
559,Producto 019,3
573,Producto 019,3
577,Producto 019,3
582,Producto 019,3
598,Producto 019,1
607,Producto 019,2
657,Producto 019,2
659,Producto 019,1
763,Producto 019,1
787,Producto 019,2
808,Producto 019,3
824,Producto 019,2
838,Producto 019,2
859,Producto 019,2
867,Producto 019,1
872,Producto 019,2
938,Producto 019,2
962,Producto 019,2
971,Producto 019,1
983,Producto 019,2
983,Producto 019,1
1007,Producto 019,3
1011,Producto 019,2
1029,Producto 019,3
1038,Producto 019,2
1039,Producto 019,2
1072,Producto 019,3
1075,Producto 019,2
1147,Producto 019,1
1156,Producto 019,2
1164,Producto 019,2
1186,Producto 019,3
1193,Producto 019,3
1193,Producto 019,3
1198,Producto 019,1
2,Producto 082,2
15,Producto 082,3
62,Producto 082,1
118,Producto 082,3
138,Producto 082,2
160,Producto 082,1
181,Producto 082,1
234,Producto 082,1
257,Producto 082,1
289,Producto 082,2
308,Producto 082,3
364,Producto 082,2
372,Producto 082,1
441,Producto 082,1
606,Producto 082,3
614,Producto 082,2
627,Producto 082,2
664,Producto 082,1
706,Producto 082,2
729,Producto 082,3
751,Producto 082,3
778,Producto 082,3
805,Producto 082,2
816,Producto 082,3
866,Producto 082,1
873,Producto 082,2
1032,Producto 082,1
1041,Producto 082,3
1051,Producto 082,2
1061,Producto 082,2
1073,Producto 082,3
1078,Producto 082,2
1144,Producto 082,2
1159,Producto 082,1
3,Producto 081,3
107,Producto 081,2
110,Producto 081,3
147,Producto 081,3
189,Producto 081,3
227,Producto 081,2
263,Producto 081,3
268,Producto 081,2
278,Producto 081,1
291,Producto 081,2
304,Producto 081,2
335,Producto 081,1
368,Producto 081,3
471,Producto 081,1
527,Producto 081,3
548,Producto 081,1
570,Producto 081,3
641,Producto 081,2
644,Producto 081,2
678,Producto 081,2
724,Producto 081,3
745,Producto 081,1
793,Producto 081,3
840,Producto 081,3
908,Producto 081,3
941,Producto 081,3
942,Producto 081,1
945,Producto 081,2
1062,Producto 081,3
1065,Producto 081,3
1069,Producto 081,2
1077,Producto 081,1
1079,Producto 081,3
1092,Producto 081,1
1160,Producto 081,3
1187,Producto 081,2
3,Producto 074,2
75,Producto 074,1
80,Producto 074,1
85,Producto 074,3
148,Producto 074,3
151,Producto 074,3
154,Producto 074,3
185,Producto 074,1
206,Producto 074,2
220,Producto 074,2
259,Producto 074,1
309,Producto 074,3
312,Producto 074,1
417,Producto 074,2
428,Producto 074,1
437,Producto 074,2
448,Producto 074,3
532,Producto 074,2
586,Producto 074,2
592,Producto 074,1
716,Producto 074,2
767,Producto 074,2
808,Producto 074,3
835,Producto 074,1
846,Producto 074,2
869,Producto 074,2
933,Producto 074,1
971,Producto 074,2
976,Producto 074,3
1012,Producto 074,2
1067,Producto 074,2
1100,Producto 074,3
1105,Producto 074,1
1131,Producto 074,3
3,Producto 010,1
89,Producto 010,2
215,Producto 010,3
229,Producto 010,2
250,Producto 010,3
256,Producto 010,1
275,Producto 010,1
298,Producto 010,1
320,Producto 010,2
384,Producto 010,1
430,Producto 010,3
434,Producto 010,3
491,Producto 010,1
496,Producto 010,3
509,Producto 010,1
575,Producto 010,2
618,Producto 010,3
638,Producto 010,1
643,Producto 010,3
666,Producto 010,2
693,Producto 010,2
773,Producto 010,2
776,Producto 010,2
833,Producto 010,3
862,Producto 010,3
884,Producto 010,2
951,Producto 010,2
964,Producto 010,3
969,Producto 010,1
982,Producto 010,2
1010,Producto 010,1
1022,Producto 010,1
1037,Producto 010,3
1077,Producto 010,2
1095,Producto 010,1
1124,Producto 010,2
3,Producto 021,2
39,Producto 021,3
139,Producto 021,2
183,Producto 021,2
297,Producto 021,1
317,Producto 021,3
357,Producto 021,3
369,Producto 021,3
417,Producto 021,3
444,Producto 021,2
461,Producto 021,2
467,Producto 021,1
487,Producto 021,3
499,Producto 021,2
534,Producto 021,2
537,Producto 021,3
565,Producto 021,1
579,Producto 021,3
716,Producto 021,3
813,Producto 021,2
831,Producto 021,1
854,Producto 021,1
861,Producto 021,2
896,Producto 021,1
899,Producto 021,3
983,Producto 021,1
1005,Producto 021,1
1036,Producto 021,3
1063,Producto 021,2
1078,Producto 021,1
4,Producto 041,2
74,Producto 041,1
83,Producto 041,3
115,Producto 041,1
168,Producto 041,3
242,Producto 041,3
369,Producto 041,2
427,Producto 041,2
435,Producto 041,1
441,Producto 041,1
446,Producto 041,3
454,Producto 041,3
468,Producto 041,2
483,Producto 041,1
485,Producto 041,2
556,Producto 041,2
597,Producto 041,2
601,Producto 041,1
603,Producto 041,2
613,Producto 041,3
677,Producto 041,3
689,Producto 041,2
700,Producto 041,1
801,Producto 041,1
856,Producto 041,3
864,Producto 041,2
970,Producto 041,1
1012,Producto 041,1
1039,Producto 041,1
1059,Producto 041,2
1090,Producto 041,3
1100,Producto 041,2
1146,Producto 041,3
4,Producto 084,2
23,Producto 084,3
88,Producto 084,3
91,Producto 084,1
101,Producto 084,1
114,Producto 084,3
239,Producto 084,2
240,Producto 084,3
274,Producto 084,3
515,Producto 084,2
522,Producto 084,1
537,Producto 084,3
560,Producto 084,2
561,Producto 084,2
605,Producto 084,1
618,Producto 084,3
673,Producto 084,1
747,Producto 084,2
748,Producto 084,3
790,Producto 084,2
839,Producto 084,2
844,Producto 084,2
922,Producto 084,2
992,Producto 084,3
1014,Producto 084,1
1087,Producto 084,2
1128,Producto 084,1
5,Producto 078,3
72,Producto 078,1
82,Producto 078,1
