product_id,product_name,category_id,rn
1,Producto 001,2,15
2,Producto 002,2,8
3,Producto 003,1,9
4,Producto 004,4,4
5,Producto 005,5,6
6,Producto 006,7,7
7,Producto 007,2,12
8,Producto 008,5,7
9,Producto 009,7,8
10,Producto 010,6,6
11,Producto 011,5,1
12,Producto 012,5,12
13,Producto 013,4,7
14,Producto 014,3,9
15,Producto 015,4,6
16,Producto 016,1,4
17,Producto 017,6,11
18,Producto 018,8,9
19,Producto 019,5,8
20,Producto 020,4,1
21,Producto 021,1,2
22,Producto 022,7,5
23,Producto 023,5,3
24,Producto 024,2,7
25,Producto 025,6,12
26,Producto 026,5,2
27,Producto 027,5,5
28,Producto 028,3,8
29,Producto 029,6,7
30,Producto 030,5,15
31,Producto 031,2,5
32,Producto 032,3,11
33,Producto 033,7,1
34,Producto 034,4,5
35,Producto 035,8,1
36,Producto 036,6,15
37,Producto 037,2,6
38,Producto 038,6,14
39,Producto 039,3,5
40,Producto 040,8,2
41,Producto 041,6,10
42,Producto 042,2,13
43,Producto 043,4,12
44,Producto 044,5,11
45,Producto 045,2,14
46,Producto 046,4,13
47,Producto 047,1,7
48,Producto 048,8,5
49,Producto 049,8,8
50,Producto 050,1,5
51,Producto 051,3,12
52,Producto 052,2,9
53,Producto 053,4,8
54,Producto 054,6,3
55,Producto 055,5,13
56,Producto 056,2,16
57,Producto 057,2,10
58,Producto 058,2,3
59,Producto 059,5,10
60,Producto 060,5,4
61,Producto 061,2,2
62,Producto 062,4,3
63,Producto 063,8,6
64,Producto 064,7,3
65,Producto 065,5,16
66,Producto 066,1,8
67,Producto 067,1,3
68,Producto 068,1,6
69,Producto 069,1,1
70,Producto 070,6,4
71,Producto 071,3,1
72,Producto 072,3,2
73,Producto 073,7,4
74,Producto 074,3,4
75,Producto 075,8,7
76,Producto 076,4,11
77,Producto 077,2,1
78,Producto 078,6,2
79,Producto 079,5,17
80,Producto 080,6,9
81,Producto 081,4,10
82,Producto 082,4,9
83,Producto 083,6,5
84,Producto 084,5,9
85,Producto 085,3,10
86,Producto 086,3,7
87,Producto 087,5,14
88,Producto 088,6,8
89,Producto 089,3,6
90,Producto 090,6,13
91,Producto 091,4,2
92,Producto 092,2,11
93,Producto 093,7,6
94,Producto 094,2,4
95,Producto 095,8,10
96,Producto 096,3,3
97,Producto 097,6,1
98,Producto 098,7,2
99,Producto 099,8,4
100,Producto 100,8,3
