product_id,product_name,list_price,prev_price
1,Producto 001,17.38,9.61
2,Producto 002,339.97,339.23
3,Producto 003,19.75,
4,Producto 004,359.43,357.91
5,Producto 005,405.67,404.53
6,Producto 006,173.42,44.01
7,Producto 007,50.91,35.0
8,Producto 008,404.53,374.77
9,Producto 009,44.01,
10,Producto 010,290.79,246.86
11,Producto 011,492.68,486.08
12,Producto 012,229.44,200.91
13,Producto 013,336.74,291.56
14,Producto 014,269.4,99.96
15,Producto 015,343.88,336.74
16,Producto 016,403.5,375.25
17,Producto 017,110.25,60.22
18,Producto 018,75.72,29.86
19,Producto 019,374.77,335.11
20,Producto 020,498.68,404.25
21,Producto 021,431.25,418.12
22,Producto 022,300.22,249.72
23,Producto 023,485.68,466.22
24,Producto 024,342.45,339.97
25,Producto 025,60.22,51.23
26,Producto 026,486.08,485.68
27,Producto 027,421.63,405.67
28,Producto 028,271.99,269.4
29,Producto 029,246.86,235.17
30,Producto 030,123.53,84.98
31,Producto 031,367.29,355.38
32,Producto 032,68.55,33.16
33,Producto 033,482.36,416.13
34,Producto 034,357.91,343.88
35,Producto 035,450.31,404.71
36,Producto 036,15.41,
37,Producto 037,355.38,342.45
38,Producto 038,40.07,15.41
39,Producto 039,363.06,331.13
40,Producto 040,404.71,315.24
41,Producto 041,214.67,110.25
42,Producto 042,35.0,30.04
43,Producto 043,99.84,87.32
44,Producto 044,234.0,229.44
45,Producto 045,30.04,17.38
46,Producto 046,87.32,
47,Producto 047,86.5,60.38
48,Producto 048,146.2,129.31
49,Producto 049,81.62,75.72
50,Producto 050,375.25,157.59
51,Producto 051,33.16,
52,Producto 052,339.23,271.13
53,Producto 053,291.56,185.29
54,Producto 054,467.68,391.16
55,Producto 055,200.91,147.02
56,Producto 056,9.61,
57,Producto 057,271.13,230.43
58,Producto 058,440.24,390.32
59,Producto 059,307.78,234.0
60,Producto 060,466.22,421.63
61,Producto 061,445.41,440.24
62,Producto 062,360.22,359.43
63,Producto 063,129.31,115.1
64,Producto 064,415.53,402.11
65,Producto 065,84.98,23.94
66,Producto 066,60.38,19.75
67,Producto 067,418.12,403.5
68,Producto 068,157.59,86.5
69,Producto 069,449.97,431.25
70,Producto 070,391.16,333.38
71,Producto 071,463.25,441.3
72,Producto 072,441.3,401.7
73,Producto 073,402.11,300.22
74,Producto 074,394.75,363.06
75,Producto 075,115.1,81.62
76,Producto 076,115.35,99.84
77,Producto 077,483.61,445.41
78,Producto 078,469.92,467.68
79,Producto 079,23.94,
80,Producto 080,221.01,214.67
81,Producto 081,131.09,115.35
82,Producto 082,185.29,131.09
83,Producto 083,333.38,290.79
84,Producto 084,335.11,307.78
85,Producto 085,99.96,68.55
86,Producto 086,309.68,271.99
87,Producto 087,147.02,123.53
88,Producto 088,235.17,221.01
89,Producto 089,331.13,309.68
90,Producto 090,51.23,40.07
91,Producto 091,404.25,360.22
92,Producto 092,230.43,50.91
93,Producto 093,249.72,173.42
94,Producto 094,390.32,367.29
95,Producto 095,29.86,
96,Producto 096,401.7,394.75
97,Producto 097,475.27,469.92
98,Producto 098,416.13,415.53
99,Producto 099,227.78,146.2
100,Producto 100,315.24,227.78
