order_id,order_date,anio,mes
1,2023-06-11,2023,6
2,2025-06-20,2025,6
3,2024-10-28,2024,10
4,2023-10-22,2023,10
5,2023-03-02,2023,3
6,2024-10-29,2024,10
7,2025-01-26,2025,1
8,2023-02-08,2023,2
9,2024-03-03,2024,3
10,2025-07-30,2025,7
11,2024-02-11,2024,2
12,2025-02-05,2025,2
13,2023-10-24,2023,10
14,2023-11-02,2023,11
15,2025-08-08,2025,8
16,2024-04-10,2024,4
17,2024-06-20,2024,6
18,2023-05-18,2023,5
19,2023-10-07,2023,10
20,2023-12-05,2023,12
21,2024-10-25,2024,10
22,2023-01-15,2023,1
23,2023-10-30,2023,10
24,2023-07-17,2023,7
25,2024-10-16,2024,10
26,2024-03-13,2024,3
27,2024-02-15,2024,2
28,2023-05-24,2023,5
29,2023-09-12,2023,9
30,2023-08-30,2023,8
31,2023-12-04,2023,12
32,2024-08-09,2024,8
33,2024-01-04,2024,1
34,2024-11-14,2024,11
35,2023-06-13,2023,6
36,2025-08-03,2025,8
37,2025-02-27,2025,2
38,2024-10-16,2024,10
39,2024-01-12,2024,1
40,2023-05-17,2023,5
41,2025-02-04,2025,2
42,2024-03-01,2024,3
43,2024-04-27,2024,4
44,2024-11-11,2024,11
45,2023-09-11,2023,9
46,2025-06-13,2025,6
47,2024-04-02,2024,4
48,2023-03-21,2023,3
49,2023-03-05,2023,3
50,2024-06-01,2024,6
51,2023-06-03,2023,6
52,2024-06-16,2024,6
53,2023-07-30,2023,7
54,2023-04-04,2023,4
55,2025-04-08,2025,4
56,2024-06-09,2024,6
57,2023-03-01,2023,3
58,2025-04-06,2025,4
59,2024-02-10,2024,2
60,2025-02-02,2025,2
61,2023-02-16,2023,2
62,2023-03-07,2023,3
63,2025-07-04,2025,7
64,2024-04-28,2024,4
65,2023-07-04,2023,7
66,2024-10-18,2024,10
67,2024-03-06,2024,3
68,2024-01-27,2024,1
69,2025-07-17,2025,7
70,2024-11-30,2024,11
71,2024-07-06,2024,7
72,2023-12-23,2023,12
73,2024-02-07,2024,2
74,2023-08-17,2023,8
75,2023-01-24,2023,1
76,2024-11-20,2024,11
77,2024-06-28,2024,6
78,2023-09-11,2023,9
79,2023-10-10,2023,10
80,2025-01-12,2025,1
81,2025-04-08,2025,4
82,2025-02-23,2025,2
83,2023-01-17,2023,1
84,2023-04-14,2023,4
85,2024-09-04,2024,9
86,2023-02-19,2023,2
87,2024-02-16,2024,2
88,2023-08-11,2023,8
89,2023-02-27,2023,2
90,2023-08-28,2023,8
91,2024-08-12,2024,8
92,2025-03-02,2025,3
93,2023-08-31,2023,8
94,2024-11-07,2024,11
95,2023-11-04,2023,11
96,2024-08-28,2024,8
97,2023-06-29,2023,6
98,2024-07-23,2024,7
99,2023-12-19,2023,12
100,2024-01-26,2024,1
101,2024-12-14,2024,12
102,2023-11-04,2023,11
103,2024-07-04,2024,7
104,2023-08-19,2023,8
105,2023-05-28,2023,5
106,2023-03-01,2023,3
107,2024-03-02,2024,3
108,2024-02-02,2024,2
109,2023-12-05,2023,12
110,2024-04-05,2024,4
111,2024-07-02,2024,7
112,2023-02-22,2023,2
113,2024-09-11,2024,9
114,2023-03-16,2023,3
115,2024-08-24,2024,8
116,2023-08-11,2023,8
117,2025-07-17,2025,7
118,2025-07-19,2025,7
119,2023-07-14,2023,7
120,2025-02-03,2025,2
121,2025-07-25,2025,7
122,2024-12-21,2024,12
123,2023-09-03,2023,9
124,2023-10-17,2023,10
125,2024-10-26,2024,10
126,2024-01-04,2024,1
127,2024-04-22,2024,4
128,2024-04-25,2024,4
129,2025-07-25,2025,7
130,2024-02-28,2024,2
131,2023-08-15,2023,8
132,2023-09-25,2023,9
133,2024-08-16,2024,8
134,2023-06-06,2023,6
135,2024-01-24,2024,1
136,2024-05-26,2024,5
137,2024-12-02,2024,12
138,2025-04-21,2025,4
139,2024-10-19,2024,10
140,2023-06-22,2023,6
141,2023-06-23,2023,6
142,2024-05-15,2024,5
143,2024-07-09,2024,7
144,2023-03-02,2023,3
145,2025-05-17,2025,5
146,2024-11-15,2024,11
147,2024-02-27,2024,2
148,2023-08-25,2023,8
149,2023-01-10,2023,1
150,2024-01-18,2024,1
151,2024-11-13,2024,11
152,2024-05-09,2024,5
153,2023-01-07,2023,1
154,2023-01-13,2023,1
155,2023-10-09,2023,10
156,2023-01-18,2023,1
157,2024-11-21,2024,11
158,2025-07-20,2025,7
159,2023-04-09,2023,4
160,2023-07-16,2023,7
161,2025-04-14,2025,4
162,2024-02-11,2024,2
163,2024-02-20,2024,2
164,2024-12-14,2024,12
165,2025-04-27,2025,4
166,2025-05-28,2025,5
167,2023-04-06,2023,4
168,2024-07-19,2024,7
169,2023-01-10,2023,1
170,2024-05-26,2024,5
171,2025-03-14,2025,3
172,2023-04-08,2023,4
173,2023-02-13,2023,2
174,2025-06-07,2025,6
175,2024-05-01,2024,5
176,2023-03-18,2023,3
177,2025-07-09,2025,7
178,2023-02-03,2023,2
179,2023-11-19,2023,11
180,2024-08-24,2024,8
181,2024-12-30,2024,12
182,2023-03-20,2023,3
183,2023-09-04,2023,9
184,2024-02-03,2024,2
185,2023-12-06,2023,12
186,2023-05-24,2023,5
187,2025-01-11,2025,1
188,2023-12-21,2023,12
189,2023-08-26,2023,8
190,2024-09-11,2024,9
191,2024-09-01,2024,9
192,2023-12-01,2023,12
193,2025-03-13,2025,3
194,2023-08-22,2023,8
195,2024-01-20,2024,1
196,2024-08-22,2024,8
197,2025-03-01,2025,3
198,2023-09-10,2023,9
199,2023-10-02,2023,10
200,2025-03-13,2025,3
201,2024-02-03,2024,2
202,2023-04-04,2023,4
203,2024-03-31,2024,3
204,2023-04-15,2023,4
205,2024-03-17,2024,3
206,2024-06-08,2024,6
207,2023-04-02,2023,4
208,2024-09-03,2024,9
209,2025-06-03,2025,6
210,2024-02-28,2024,2
211,2025-01-12,2025,1
212,2023-09-06,2023,9
213,2024-12-02,2024,12
214,2023-10-03,2023,10
215,2023-05-30,2023,5
216,2023-10-10,2023,10
217,2025-03-12,2025,3
218,2023-09-10,2023,9
219,2024-08-31,2024,8
220,2023-04-20,2023,4
221,2024-02-10,2024,2
222,2024-01-25,2024,1
223,2024-03-26,2024,3
224,2025-04-23,2025,4
225,2024-08-31,2024,8
226,2024-09-09,2024,9
227,2024-05-05,2024,5
228,2024-02-12,2024,2
229,2025-01-22,2025,1
230,2024-08-12,2024,8
231,2024-01-21,2024,1
232,2024-02-07,2024,2
233,2024-07-31,2024,7
234,2023-07-04,2023,7
235,2023-01-28,2023,1
236,2024-12-26,2024,12
237,2023-10-26,2023,10
238,2025-04-18,2025,4
239,2024-02-23,2024,2
240,2024-10-10,2024,10
241,2024-11-05,2024,11
242,2025-03-19,2025,3
243,2024-09-04,2024,9
244,2024-07-01,2024,7
245,2025-06-09,2025,6
246,2023-02-07,2023,2
247,2024-12-19,2024,12
248,2024-08-31,2024,8
249,2023-04-22,2023,4
250,2024-11-11,2024,11
251,2024-09-19,2024,9
252,2024-11-24,2024,11
253,2025-02-09,2025,2
254,2024-03-16,2024,3
255,2023-09-22,2023,9
256,2024-06-15,2024,6
257,2024-08-12,2024,8
258,2024-02-05,2024,2
259,2024-08-25,2024,8
260,2023-12-20,2023,12
261,2023-04-18,2023,4
262,2023-03-29,2023,3
263,2025-01-17,2025,1
264,2023-12-18,2023,12
265,2024-06-17,2024,6
266,2023-04-10,2023,4
267,2024-04-08,2024,4
268,2023-02-15,2023,2
269,2023-01-24,2023,1
270,2023-04-22,2023,4
271,2025-01-28,2025,1
272,2024-07-19,2024,7
273,2024-03-12,2024,3
274,2025-03-27,2025,3
275,2023-07-10,2023,7
276,2024-02-10,2024,2
277,2025-06-23,2025,6
278,2024-03-15,2024,3
279,2023-08-08,2023,8
280,2024-12-21,2024,12
281,2024-08-14,2024,8
282,2024-07-03,2024,7
283,2023-07-21,2023,7
284,2024-11-17,2024,11
285,2024-10-16,2024,10
286,2024-09-17,2024,9
287,2023-12-23,2023,12
288,2024-09-24,2024,9
289,2024-12-23,2024,12
290,2024-09-21,2024,9
291,2023-05-18,2023,5
292,2023-11-09,2023,11
293,2024-12-11,2024,12
294,2024-03-04,2024,3
295,2024-01-28,2024,1
296,2024-10-12,2024,10
297,2024-10-22,2024,10
298,2024-07-22,2024,7
299,2023-05-24,2023,5
300,2024-04-06,2024,4
301,2024-01-03,2024,1
302,2023-05-20,2023,5
303,2024-07-29,2024,7
304,2024-02-23,2024,2
305,2024-12-28,2024,12
306,2023-06-21,2023,6
307,2025-03-25,2025,3
308,2023-02-03,2023,2
309,2023-10-23,2023,10
310,2024-08-02,2024,8
311,2024-05-22,2024,5
312,2024-08-09,2024,8
313,2024-07-10,2024,7
314,2024-07-09,2024,7
315,2025-02-17,2025,2
316,2023-08-12,2023,8
317,2025-01-23,2025,1
318,2023-09-11,2023,9
319,2024-04-05,2024,4
320,2025-04-16,2025,4
321,2023-05-01,2023,5
322,2023-08-03,2023,8
323,2024-12-06,2024,12
324,2024-09-16,2024,9
325,2024-09-22,2024,9
326,2025-04-13,2025,4
327,2024-08-06,2024,8
328,2024-09-03,2024,9
329,2024-12-21,2024,12
330,2023-10-01,2023,10
331,2025-07-10,2025,7
332,2023-05-19,2023,5
333,2024-02-26,2024,2
334,2025-06-06,2025,6
335,2025-06-05,2025,6
336,2024-12-29,2024,12
